"Algae, blue-green (phylum cyanophyta) density"
Alkalinity
Ammonia
Ammonium
Chloride
Chlorophyll a
Chlorophyll a (probe)
"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)"
"Chlorophyll a, corrected for pheophytin"
Conductivity
Depth
"Depth, bottom"
"Depth, Secchi disk depth"
Dissolved oxygen (DO)
Dissolved oxygen saturation
Enterococcus
Escherichia coli
Fecal Coliform
Flow
"Height, gage"
Metals
Microcystins
Nitrate
Nitrate + Nitrite
Nitrite
Orthophosphate
Param
Particulate organic carbon
pH
Pheophytin a
"Phosphorus, Particulate Organic"
Salinity
Silicate
Specific conductance
Sulfate
Surfactants
"Temperature, air"
"Temperature, water"
Total dissolved solids
Total Kjeldahl nitrogen (Organic N & NH3)
"Total Nitrogen, mixed forms"
Total suspended solids
Turbidity
